tipo;estado;canal_entrada;fecha_entrada;fecha_contestacion;consejeria;unidad_descripcion;tema;subtema
Sugerencia;Contestada al Ciudadano;INTERNET;2024-01-01 00:00:00.0;2024-01-26 00:00:00.0;Consejería de Cultura, Turismo y Deporte;Dirección General de Patrimonio Cultural;CULTURA;BIBLIOTECAS
Queja;Contestada al Ciudadano;INTERNET;2024-01-01 00:00:00.0;2024-02-02 00:00:00.0;Consejería de Vivienda, Transportes e Infraestructuras;Agencia de Vivienda Social;VIVIENDA;VIVIENDAS DEL IVIMA
Queja;Contestada al Ciudadano;INTERNET;2024-01-01 00:00:00.0;2024-05-14 00:00:00.0;Consejería de Medio Ambiente, Agricultura e Interior;DG DE BIODIVERSIDAD Y RECURSOS NATURALES;MEDIO AMBIENTE;ENTORNO NATURAL
Queja;Enviada a Otra Administración;INTERNET;2024-01-02 00:00:00.0;;Consejería de Economía, Hacienda y Empleo;;EMPLEO;OTROS
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-01-17 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección General de Educación Concertada, Becas y Ayudas al Estudio;EDUCACIÓN;BECAS, AYUDAS Y SUBVENCIONES
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-01-26 00:00:00.0;Consejería de Vivienda, Transportes e Infraestructuras;Agencia de Vivienda Social;VIVIENDA;OTROS
Queja;Recepcionada por Unidad;INTERNET;2024-01-02 00:00:00.0;;Consejería de Vivienda, Transportes e Infraestructuras;Agencia de Vivienda Social;VIVIENDA;VIVIENDAS DEL IVIMA
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-05-30 00:00:00.0;Consejería de Vivienda, Transportes e Infraestructuras;Dirección General de Carreteras;TRANSPORTES;CARRETERAS
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-01-10 00:00:00.0;Consejería de Economía, Hacienda y Empleo;;OTROS;OTROS
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-01-26 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;MAYORES
Sugerencia;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-01-17 00:00:00.0;Agencia para la Administración Digital de la Comunidad de Madrid;;OTROS;BOLETIN OFICIAL DE LA COMUNIDAD DE MADRID
Queja;Enviada a Otra Administración;INTERNET;2024-01-02 00:00:00.0;;;;OTROS;OTROS
Agradecimiento;Cancelada;PRESENCIAL;2024-01-02 00:00:00.0;;Consejería de Presidencia, Justicia y Administración Local;Subdirección General de Atención al Ciudadano;ATENCIÓN AL CIUDADANO;OFICINAS DE ATENCIÓN AL CIUDADANO DE LA COMUNIDAD DE MADRID
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-01-09 00:00:00.0;Consejería de Vivienda, Transportes e Infraestructuras;Dirección General de Vivienda y Rehabilitación;VIVIENDA;OTROS
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-01-10 00:00:00.0;Consejería de Presidencia, Justicia y Administración Local;;ATENCIÓN AL CIUDADANO;OTROS
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-01-08 00:00:00.0;Consejería de Presidencia, Justicia y Administración Local;Dirección General de Justicia;JUSTICIA;REGISTROS CIVILES
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-02-02 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Sur;EDUCACIÓN;SECUNDARIA OBLIGATORIA Y BACHILLERATO
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-02-01 00:00:00.0;Consejería de Sanidad;Dirección General de Humanización, Atención y Seguridad al Paciente;SANIDAD;CITA SANITARIA
Queja;Contestada al Ciudadano;LLAMADAS 012;2024-01-02 00:00:00.0;2024-01-22 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Dirección General de Servicios Sociales e Integración;POLÍTICAS SOCIALES;PRESTACIONES SOCIALES Y PENSIONES NO CONTRIBUTIVAS
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-02-13 00:00:00.0;Consejería de Sanidad;Dirección General de Humanización, Atención y Seguridad al Paciente;SANIDAD;SALUD PÚBLICA
Queja;Contestada al Ciudadano;PRESENCIAL;2024-01-02 00:00:00.0;2024-03-05 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;LLAMADAS 012;2024-01-02 00:00:00.0;2024-02-07 00:00:00.0;Consejería de Economía, Hacienda y Empleo;Dirección General del Servicio Público de Empleo;EMPLEO;OFICINAS DE EMPLEO DE LA COMUNIDAD DE MADRID
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-02-14 00:00:00.0;Consejería de Sanidad;Dirección General de Humanización, Atención y Seguridad al Paciente;SANIDAD;SALUD PÚBLICA
Queja;Contestada al Ciudadano;LLAMADAS 012;2024-01-02 00:00:00.0;2024-01-10 00:00:00.0;Consejería de Cultura, Turismo y Deporte;Dirección General de Patrimonio Cultural;CULTURA;BIBLIOTECAS
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-01-19 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección General de Recursos Humanos;EDUCACIÓN;PROFESORADO
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-03-06 00:00:00.0;Consejería de Sanidad;Dirección General de Humanización, Atención y Seguridad al Paciente;SANIDAD;CITA SANITARIA
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-02-13 00:00:00.0;Consejería de Vivienda, Transportes e Infraestructuras;Dirección General de Vivienda y Rehabilitación;VIVIENDA;AYUDAS
Queja;Cancelada;INTERNET;2024-01-02 00:00:00.0;;Consejería de Familia, Juventud y Asuntos Sociales;Dirección General de Infancia, Familia y Fomento de la Natalidad;POLÍTICAS SOCIALES;INFANCIA, ACOGIMIENTO Y ADOPCIÓN
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-05-21 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;MAYORES
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-02-02 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Dirección General de Atención a Personas con Discapacidad;POLÍTICAS SOCIALES;DISCAPACIDAD
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-01-15 00:00:00.0;Consorcio Regional de Transportes;;TRANSPORTES;METRO 
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-02-19 00:00:00.0;Consejería de Sanidad;Dirección General de Humanización, Atención y Seguridad al Paciente;SANIDAD;CITA SANITARIA
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-02-07 00:00:00.0;Consejería de Economía, Hacienda y Empleo;Dirección General de Formación;EMPLEO;FORMACIÓN 
Sugerencia;Enviada a Otra Administración;INTERNET;2024-01-02 00:00:00.0;;Consejería de Medio Ambiente, Agricultura e Interior;DG DE BIODIVERSIDAD Y RECURSOS NATURALES;MEDIO AMBIENTE;ENTORNO NATURAL
Queja;Cancelada;INTERNET;2024-01-02 00:00:00.0;;Consejería de Presidencia, Justicia y Administración Local;;ATENCIÓN AL CIUDADANO;OTROS
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-01-26 00:00:00.0;Consejería de Cultura, Turismo y Deporte;Dirección General de Patrimonio Cultural;CULTURA;BIBLIOTECAS
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-01-17 00:00:00.0;Consejería de Presidencia, Justicia y Administración Local;SERVICIO 012;ATENCIÓN AL CIUDADANO;TELÉFONO 012
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-01-23 00:00:00.0;Consorcio Regional de Transportes;;TRANSPORTES;TARIFAS, ABONOS Y TÍTULOS
Queja;Contestada al Ciudadano;INTERNET;2024-01-02 00:00:00.0;2024-01-26 00:00:00.0;Consejería de Cultura, Turismo y Deporte;Dirección General de Patrimonio Cultural;CULTURA;BIBLIOTECAS
Queja;Contestada al Ciudadano;INTERNET;2024-01-03 00:00:00.0;2024-01-08 00:00:00.0;Consejería de Presidencia, Justicia y Administración Local;Dirección General de Justicia;JUSTICIA;OTROS
